repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
ikawaha/kagome,ea3f3ad438cbf9089df1639aa4027ae6ca309a99,9149d230fba132d4aa226bc300ef79f3f7264e97,v2,1718449160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
ikawaha/kagome,9149d230fba132d4aa226bc300ef79f3f7264e97,e993ea927ec2863c7c639912c68b6c08adf6e39b,v2,1718449036,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,
ikawaha/kagome,e993ea927ec2863c7c639912c68b6c08adf6e39b,d12b9fc68c90a80e1c75fd5ba29536575bc580f5,v2,1718432364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,
ikawaha/kagome,d8c55ef5c990560a4de913d674b483ab2b0cfba2,d12b9fc68c90a80e1c75fd5ba29536575bc580f5,develop,1718432096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4,
ikawaha/kagome,bd1b719436cc6547870c3ed4ffe546abace03d6d,d12b9fc68c90a80e1c75fd5ba29536575bc580f5,develop,1718432011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,
ikawaha/kagome,2330742e4dfe7bc7da971d25c1edae4a4f7a5b46,d12b9fc68c90a80e1c75fd5ba29536575bc580f5,bump/dict-v1.2.0_20240615,1718431667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,
ikawaha/kagome,d12b9fc68c90a80e1c75fd5ba29536575bc580f5,70cdd0b5a77e1c5e60a33d203fe08cdf9891aec1,v2,1717632123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,
ikawaha/kagome,70cdd0b5a77e1c5e60a33d203fe08cdf9891aec1,3ed417cea3b809f9d6e27fa95f728b8b980b090c,v2,1715127711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,
ikawaha/kagome,da594d0eea57416188fa74fff9cd192d2ee20c1f,19e63b7dd3612ea3ce1b7e23b5a11bfa5e352da7,develop,1715045412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,
ikawaha/kagome,596d1c1e045ae93750ab741568976a8c86469cb5,3ed417cea3b809f9d6e27fa95f728b8b980b090c,develop,1715044952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,
ikawaha/kagome,19e63b7dd3612ea3ce1b7e23b5a11bfa5e352da7,596d1c1e045ae93750ab741568976a8c86469cb5,develop,1715044965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,
