repo,childSha,parentSha,childBranch,timestamp,newHitLines,newNonHitLines,newFileHitLines,newFileNonHitLines,deletedLinesTested,deletedLinesNotTested,deletedFileLinesTested,deletedFileLinesNotTested,oldLinesNewlyTested,oldLinesNoLongerTested,modifiedLinesNewlyHit,modifiedLinesStillHit,modifiedLinesNotHit,nStatementsInBoth,nStatementsInEither,totalStatementsHitNow,totalStatementsHitPrev,totalStatementsNow,totalStatementsPrev,insFilesSrc,insFilesTest,modFilesSrc,modFilesTest,delFilesSrc,delFilesTest,newLinesSrc,newLinesTest,delLinesSrc,delLinesTest,insLinesAllFiles,delLinesAllFiles
F5Networks/k8s-bigip-ctlr,c52b0bedbad6ac2a8d0231a0796ce00d2674906b,2005a628499692a18ac3ba564600d1e9e7b118a1,(HEAD detached at c52b0bed),1720510831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,9,0,0,503,75,157,32,788,239,
F5Networks/k8s-bigip-ctlr,0aac8e8255a610cde8062cc909d5db6cd355d271,0e9e3077234428f87eba36358c4a5b31791809bc,(HEAD detached at 0aac8e82),1720215224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,282,0,282,0,282,282,
F5Networks/k8s-bigip-ctlr,0e9e3077234428f87eba36358c4a5b31791809bc,083748f7a55e16d43a3a4af4aed7001ba08b2a4f,(HEAD detached at 0e9e3077),1719224673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119,110,
F5Networks/k8s-bigip-ctlr,2005a628499692a18ac3ba564600d1e9e7b118a1,c0934efcc07227fdc64bd9c8e17e8cc21a4bc3b2,(HEAD detached at 2005a628),1718629134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,766,54,278,0,1505,444,
F5Networks/k8s-bigip-ctlr,083748f7a55e16d43a3a4af4aed7001ba08b2a4f,9c63e87affafb82569474cba66a64082c3a876b9,(HEAD detached at 083748f7),1717505298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,
F5Networks/k8s-bigip-ctlr,9c63e87affafb82569474cba66a64082c3a876b9,71b3571efee4ee36e3287352dfa24919dcb0d9ee,(HEAD detached at 9c63e87a),1717502677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,28,0,12,0,28,12,
F5Networks/k8s-bigip-ctlr,71b3571efee4ee36e3287352dfa24919dcb0d9ee,e9882fc08115933171ae4e63c86f13d21615abf6,(HEAD detached at 71b3571e),1717491811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,28,4,2,4,32,6,
F5Networks/k8s-bigip-ctlr,e9882fc08115933171ae4e63c86f13d21615abf6,52abc7e0467690de4293f8dd61a83eeed0240d53,(HEAD detached at e9882fc0),1717490096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,27,0,18,0,27,18,
F5Networks/k8s-bigip-ctlr,52abc7e0467690de4293f8dd61a83eeed0240d53,5070c492f70aebb1de76a121f81dd13b1b5273ae,(HEAD detached at 52abc7e0),1717486143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,15157,
F5Networks/k8s-bigip-ctlr,5070c492f70aebb1de76a121f81dd13b1b5273ae,4b6d8cee10f1d101f77e66404771436b1b61433a,(HEAD detached at 5070c492),1717128583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,129,0,51,0,133,51,
F5Networks/k8s-bigip-ctlr,4b6d8cee10f1d101f77e66404771436b1b61433a,748175fd362cf9bd57a25896848b96f239e4f886,(HEAD detached at 4b6d8cee),1716884259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,3,0,7,3,
F5Networks/k8s-bigip-ctlr,748175fd362cf9bd57a25896848b96f239e4f886,67c5bc498db205bbfd567775f9d4805d09345ff4,(HEAD detached at 748175fd),1716277528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,0,86,98,100,108,184,208,
F5Networks/k8s-bigip-ctlr,67c5bc498db205bbfd567775f9d4805d09345ff4,ceac1f6ea541c13db097ebfe2c008629ab65113b,(HEAD detached at 67c5bc49),1715735969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,17,12,0,0,903,396,271,101,1378,379,
F5Networks/k8s-bigip-ctlr,ceac1f6ea541c13db097ebfe2c008629ab65113b,482f1af39151998b63fbe158552e6b193a6471a6,(HEAD detached at ceac1f6e),1715155642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,51,35,0,2,86,2,
F5Networks/k8s-bigip-ctlr,482f1af39151998b63fbe158552e6b193a6471a6,c8ff031359840fc970fa4513a81df7ebaaf5a25b,(HEAD detached at 482f1af3),1715152153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,0,0,17,0,
F5Networks/k8s-bigip-ctlr,c8ff031359840fc970fa4513a81df7ebaaf5a25b,fea7547941fdeca30110701dbea2ae12617d1b69,(HEAD detached at c8ff0313),1715093945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2623,5,
F5Networks/k8s-bigip-ctlr,c8ff031359840fc970fa4513a81df7ebaaf5a25b,fea7547941fdeca30110701dbea2ae12617d1b69,(HEAD detached at c8ff0313),1715093945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2623,5,
F5Networks/k8s-bigip-ctlr,fea7547941fdeca30110701dbea2ae12617d1b69,491c6958d2563056bdc12f0a3abdf7f1324f3e6d,(HEAD detached at fea75479),1715075982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,12,1,
F5Networks/k8s-bigip-ctlr,491c6958d2563056bdc12f0a3abdf7f1324f3e6d,4088633fecf61276eb8f502dd9cd33dc244e7071,(HEAD detached at 491c6958),1715057520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,
F5Networks/k8s-bigip-ctlr,4088633fecf61276eb8f502dd9cd33dc244e7071,a2fa0c70291c05ae843f92d13d58582ee03fcfb0,(HEAD detached at 4088633f),1714647544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,0,10,0,11,10,
